time_days,pressure_min_bar,pressure_max_bar,generated_H2_kg,unreacted_accessible_Fe_kg,free_H2_kg,dissolved_H2_kg,gas_H2_out_kg,aqueous_H2_out_kg,max_gas_saturation,salinity_min_molal,salinity_max_molal,outlet_H2_mol_per_mol_water,separator_gas_H2_rate_kg_day,separator_H2_available_kg,collected_H2_kg,gross_electricity_kwh,H2_kg,native_H2_kg,H2_in_kg,H2_out_kg,H2_balance_kg,H2_exact_balance_kg,H2O_kg,native_H2O_kg,H2O_in_kg,H2O_out_kg,H2O_balance_kg,H2O_exact_balance_kg,NaCl_kg,native_NaCl_kg,NaCl_in_kg,NaCl_out_kg,NaCl_balance_kg,NaCl_exact_balance_kg
1.2705003365880856,120.75195716731349,122.29513273491789,0.017162056283258,590.4441082543924,0.0,0.0018790126803661978,0.0,0.015283164009871309,0.0,4.500003014467689,4.500081410300956,1.809126515380187e-05,0.0,0.0,0.0,0.0,0.0018790126803661978,0.0018790130179256782,1.0246198542747214e-07,0.015283164009871309,-2.8399841072584975e-12,-3.403024030103341e-10,1511.6485702092118,1511.648570222305,8470.001445530597,8469.758245067269,-2.030625667615027e-12,-6.203192876030883e-09,397.5568039401941,397.55680392676385,2227.5477021150787,2227.5196616886637,1.3812950783176348e-11,6.5521703618287574e-09
1.2905003365880856,120.7519571676767,122.29513273567527,0.017431887545146664,590.4216832189435,0.0,0.0018789426975200296,0.0,0.015553066867487442,0.0,4.500003014353195,4.50008140730205,1.8090598770597027e-05,0.0,0.0,0.0,0.0,0.0018789426975200296,0.0018789430351374183,1.0407492471012851e-07,0.015553066867487442,-2.840058049846661e-12,-3.403603852751569e-10,1511.6485703948927,1511.6485704079864,8603.334778850816,8603.089166805426,-1.4654388813539754e-12,-6.203309810270952e-09,397.5568038245486,397.55680381111745,2262.613382110862,2262.585341800094,1.4210854715202004e-11,6.553477760462556e-09
1.3105003365880856,120.75195716803988,122.29513273643263,0.017701708558858532,590.3992590351966,0.0,0.001878872464577097,0.0,0.0158229597270238,0.0,4.500003014238704,4.500081404286212,1.808992862363848e-05,0.0,0.0,0.0,0.0,0.001878872464577097,0.0018788728022521278,1.0568786399278486e-07,0.0158229597270238,-2.840141316573508e-12,-3.404181105840648e-10,1511.6485705812363,1511.6485705943305,8736.668112171033,8736.420088634504,-8.527623052145827e-13,-6.203151881045699e-09,397.55680370848984,397.5568036950576,2297.679062106645,2297.651021911937,1.4551915228366852e-11,6.554898845934076e-09
1.3305003365880856,120.75195716840305,122.29513273718996,0.01797151932478282,590.3768357031187,0.0,0.0018788020277486382,0.0,0.016092842542658362,0.0,4.5000030141242195,4.500081401256547,1.8089255405382393e-05,0.0,0.0,0.0,0.0,0.0018788020277486382,0.0018788023654810577,1.0730080327544121e-07,0.016092842542658362,-2.8402191622894923e-12,-3.4047557720233435e-10,1511.6485707681204,1511.6485707812162,8870.00144549125,8869.751010554623,5.57304202786213e-13,-6.2033334302658005e-09,397.5568035920941,397.55680357866106,2332.7447421024276,2332.716702024117,1.5120349416974932e-11,6.5563199314055964e-09
1.3505003365880857,120.75195716876621,122.29513273794726,0.01824131984330874,590.3544132226776,0.0,0.0018787314248021865,0.0,0.01636271527701279,0.0,4.500003014009731,4.500081398215622,1.8088579681781604e-05,0.0,0.0,0.0,0.0,0.0018787314248021867,0.0018787317625917498,1.0891374255809758e-07,0.01636271527701279,-2.840304597420684e-12,-3.405328061634877e-10,1511.648570955446,1511.6485709685423,9003.33477881147,9003.081932565876,-2.1697921237517903e-12,-6.206515273943225e-09,397.5568034754239,397.5568034619898,2367.810422098211,2367.782382136571,1.4722445484949276e-11,6.557002052431926e-09
1.3705003365880857,120.75195716912935,122.29513273870452,0.018511110114825494,590.3319915938415,0.0,0.0018786606866040736,0.0,0.016632577899609948,0.0,4.5000030138952605,4.50008139516549,1.8087901915399883e-05,0.0,0.0,0.0,0.0,0.0018786606866040732,0.001878661024450544,1.1052668184075393e-07,0.016632577899609948,-2.840387864147531e-12,-3.405897972506844e-10,1511.6485711431305,1511.648571156228,9136.668112131687,9136.412854668346,-1.0084988399938766e-12,-6.206490849036683e-09,397.55680335853026,397.5568033450952,2402.8761020939937,2402.848062249249,1.5234036254696548e-11,6.558423137903446e-09
1.3905003365880857,120.75195716949248,122.29513273946176,0.018780890139722256,590.3095708165774,0.0,0.0018785898383801313,0.0,0.016902430385613176,0.0,4.5000030137807885,4.500081392107868,1.808722248430036e-05,0.0,0.0,0.0,0.0,0.0018785898383801311,0.0018785901762832797,1.121396211234103e-07,0.016902430385613176,-2.840468528789164e-12,-3.406465556680949e-10,1511.648571331106,1511.6485713442041,9270.001445451906,9269.743776862097,-1.3483658634072526e-12,-6.207512837086426e-09,397.55680324145476,397.5568032280186,2437.941782089777,2437.9137423621087,1.517719283583574e-11,6.559446319442941e-09
1.4105003365880857,120.75195716985561,122.29513274021897,0.019050659918388193,590.2871508908531,0.0,0.0018785189007460928,0.0,0.0171722727147959,0.0,4.500003013666314,4.500081389044144,1.8086541697481748e-05,0.0,0.0,0.0,0.0,0.0018785189007460925,0.0018785192387056964,1.1375256040606666e-07,0.0171722727147959,-2.840548759749928e-12,-3.407030911735387e-10,1511.64857151932,1511.6485715324195,9403.334778772123,9403.074699147177,1.6526502388813924e-12,-6.205876063036797e-09,397.5568031242312,397.5568031107943,2473.00746208556,2472.9794224751163,1.5631940186722204e-11,6.560640031239018e-09
1.4305003365880857,120.75195717021872,122.29513274097616,0.019320419451212458,590.2647318166365,0.0,0.0018784478905497816,0.0,0.01744210487069944,0.0,4.500003013551851,4.500081385975457,1.808585980749367e-05,0.0,0.0,0.0,0.0,0.0018784478905497818,0.0018784482285656248,1.1536549968872304e-07,0.01744210487069944,-2.8406266054659124e-12,-3.4075940810382455e-10,1511.6485717077255,1511.6485717208252,9536.668112092342,9536.405621523629,7.857325901028389e-13,-6.206970354361019e-09,397.5568030068879,397.55680299344994,2508.073142081343,2508.045102588244,1.5631940186722204e-11,6.561720056197373e-09
1.4505003365880857,120.7519571705818,122.29513274173331,0.01959016873858419,590.2423135938952,0.0,0.0018783768215594725,0.0,0.01771192683994465,0.0,4.500003013437383,4.500081382902733,1.8085177020747213e-05,0.0,0.0,0.0,0.0,0.0018783768215594723,0.0018783771596313425,1.1697843897137941e-07,0.01771192683994465,-2.8407094385118903e-12,-3.408155181683359e-10,1511.648571896287,1511.6485719093878,9670.001445412561,9669.736543991483,-1.1536049893123845e-12,-6.21004656031765e-09,397.5568028894473,397.55680287600853,2543.1388220771264,2543.1107827014685,1.546140993013978e-11,6.562345333804842e-09
