time_days,pressure_min_bar,pressure_max_bar,generated_H2_kg,unreacted_accessible_Fe_kg,free_H2_kg,dissolved_H2_kg,gas_H2_out_kg,aqueous_H2_out_kg,max_gas_saturation,salinity_min_molal,salinity_max_molal,outlet_H2_mol_per_mol_water,separator_gas_H2_rate_kg_day,separator_H2_available_kg,collected_H2_kg,gross_electricity_kwh,H2_kg,native_H2_kg,H2_in_kg,H2_out_kg,H2_balance_kg,H2_exact_balance_kg,H2O_kg,native_H2O_kg,H2O_in_kg,H2O_out_kg,H2O_balance_kg,H2O_exact_balance_kg,NaCl_kg,native_NaCl_kg,NaCl_in_kg,NaCl_out_kg,NaCl_balance_kg,NaCl_exact_balance_kg
0.000113330078125,120.74770066312473,122.28604819325066,0.0,591.8704060000002,0.0,1.8286437482077664e-08,0.0,7.98910405749163e-12,0.0,4.499999999999996,4.499999999999996,1.0810744985903819e-10,0.0,0.0,0.0,0.0,1.8286437482077664e-08,1.828653454943487e-08,9.130106776735505e-12,7.98910405749163e-12,2.0129172019013702e-18,-4.043692625766998e-18,1511.6530625535204,1511.6530625604125,0.7547386211009743,0.6604178382171519,1.6639687760999777e-07,1.6639665023632233e-07,397.5535692189125,397.5535692120206,0.19849067227941608,0.1736850043553051,4.3761362866767683e-08,4.3761419710186544e-08
0.0001709951171875,120.75117710495812,122.29346748678448,0.0,591.8704060000002,0.0,1.828644234272844e-08,0.0,1.2634730839109855e-11,0.0,4.499999999999996,4.499999999999996,1.081074498590382e-10,0.0,0.0,0.0,0.0,1.8286442342728444e-08,1.8286539410111445e-08,1.378059423196771e-11,1.2634730839109855e-11,2.015877962425859e-18,-4.066526665464363e-18,1511.6534643604678,1511.6534643673604,1.139170323296718,1.0444477337100018,1.6664180435554954e-07,1.666411222345232e-07,397.5536748911664,397.55367488427436,0.2995933651600878,0.2746820250464865,4.382563945082296e-08,4.3825809981079544e-08
0.00025749267578125,120.75186288642712,122.29493105672907,0.0,591.8704060000002,0.0,1.828644330156663e-08,0.0,1.9609532987706418e-11,0.0,4.499999999999996,4.499999999999996,1.0810744985903818e-10,0.0,0.0,0.0,0.0,1.828644330156663e-08,1.8286540368954726e-08,2.075635522367067e-11,1.9609532987706418e-11,2.0160530920711728e-18,-4.071446968392376e-18,1511.6535436230736,1511.6535436299655,1.7158203407338979,1.6210184885556638,1.666554272361509e-07,1.666554272361509e-07,397.5536957366452,397.55369572975303,0.45124805253261807,0.4263158669439895,4.3829285145680075e-08,4.382956936277438e-08
0.000387239013671875,120.75195720853904,122.29513235559997,0.0,591.8704060000002,0.0,1.8286443433444876e-08,0.0,3.007304874617008e-11,0.0,4.499999999999996,4.499999999999996,1.081074498590382e-10,0.0,0.0,0.0,0.0,1.8286443433444876e-08,1.8286540500833667e-08,3.1220002861076e-11,3.007304874617008e-11,2.0160517252844575e-18,-4.0721431668936355e-18,1511.653554524823,1511.6535545317151,2.580795875265977,2.485983121338945,1.6665627633472013e-07,1.666560489610447e-07,397.55369860372446,397.55369859683253,0.6787302172906206,0.653795164622729,4.382952401016382e-08,4.3829580853582684e-08
0.0005818585205078125,120.75196612990136,122.29515139525304,0.0,591.8704060000002,0.0,1.8286443445918445e-08,0.0,4.576850860115611e-11,0.0,4.499999999999996,4.499999999999996,1.0810744985903819e-10,0.0,0.0,0.0,0.0,1.828644344591845e-08,1.8286540513307312e-08,4.6915475189700726e-11,4.576850860115611e-11,2.016058439664586e-18,-4.0722059356849615e-18,1511.653555555954,1511.6535555628463,3.878259249190533,3.7834454641324227,1.6665640334423415e-07,1.6665594859688326e-07,397.55369887490434,397.5536988680123,1.0199534833963428,0.9950181595486053,4.382944995828808e-08,4.382962048854466e-08
0.0008737877807617187,120.75196670452463,122.29515262159354,0.0,591.8704060000002,0.0,1.828644344672187e-08,0.0,6.931171637496619e-11,0.0,4.499999999999996,4.499999999999996,1.081074498590382e-10,0.0,0.0,0.0,0.0,1.828644344672187e-08,1.828654051411074e-08,7.045868376693559e-11,6.931171637496619e-11,2.0160609535181663e-18,-4.072213347998732e-18,1511.6535556223687,1511.653555629261,5.824454317045829,5.729640465572757,1.6665615554245505e-07,1.6665570079510417e-07,397.5536988923709,397.5536988854791,1.5317883843875795,1.5068530430731952,4.3829592177857535e-08,4.3829535334438674e-08
0.001311681671142578,120.75196672955718,122.29515267501712,0.0,591.8704060000002,0.0,1.8286443446756872e-08,0.0,1.0462652921132659e-10,0.0,4.499999999999996,4.499999999999996,1.0810744985903816e-10,0.0,0.0,0.0,0.0,1.828644344675687e-08,1.8286540514145732e-08,1.0577349663829639e-10,1.0462652921132659e-10,2.016053599365533e-18,-4.072214084706465e-18,1511.653555625262,1511.6535556321544,8.743746919284133,8.648933064917763,1.6665618751687816e-07,1.6665573276952728e-07,397.55369889313204,397.55369888623983,2.2995407359941895,2.2746053939188853,4.382940765879084e-08,4.382974871930401e-08
0.0019685225067138674,120.7519667302913,122.29515267658383,0.0,591.8704060000002,0.0,1.8286443446757888e-08,0.0,1.5759874851758465e-10,0.0,4.499999999999996,4.499999999999996,1.0810744985903819e-10,0.0,0.0,0.0,0.0,1.828644344675789e-08,1.828654051414676e-08,1.5874571594558028e-10,1.5759874851758465e-10,2.0160567788410123e-18,-4.072217522675886e-18,1511.6535556253466,1511.6535556322399,13.122685822661651,13.027871968210485,1.666568838487592e-07,1.6665551960670655e-07,397.55369889315415,397.55369888626205,3.451169263409379,3.42623392131177,4.382932861091149e-08,4.382955598458693e-08
0.002953783760070801,120.75196673030574,122.29515267661466,0.0,591.8704060000002,0.0,1.8286443446757914e-08,0.0,2.3705707747849606e-10,0.0,4.499999999999996,4.499999999999996,1.0810744985903818e-10,0.0,0.0,0.0,0.0,1.8286443446757914e-08,1.828654051414678e-08,2.3820404490651214e-10,2.3705707747849606e-10,2.016056184304947e-18,-4.072214808489501e-18,1511.653555625349,1511.6535556322408,19.691094177728434,19.596280323275575,1.6665610047539303e-07,1.6665632784906848e-07,397.5536988931546,397.55369888626274,5.178612054532294,5.153676712434236,4.382956220183587e-08,4.382956220183587e-08
0.004431675640106202,120.75196673030594,122.29515267661506,0.0,591.8704060000002,0.0,1.8286443446757914e-08,0.0,3.5624457091989473e-10,0.0,4.499999999999996,4.499999999999996,1.081074498590382e-10,0.0,0.0,0.0,0.0,1.8286443446757914e-08,1.828654051414678e-08,3.5739153834791226e-10,3.5624457091989473e-10,2.016054736738875e-18,-4.072216256055573e-18,1511.653555625349,1511.6535556322408,29.54370671032879,29.44889285587582,1.666559867885553e-07,1.6665621416223075e-07,397.5536988931546,397.55369888626274,7.769776241216714,7.744840899118621,4.382952667469908e-08,4.382952667469908e-08
