sample,subgroup,n_readings,reading_numbers,element,n_detected,n_below_detection,n_missing,mean_basis,mean_ppm,sample_sd_ppm,sem_ppm,min_ppm,max_ppm,mean_reported_2sigma_ppm,nominal_instrument_1sigma_mean_ppm
sample2,all,5,4463 4464 4465 4466 4467,V,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,W,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Y,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Zn,5,0,0,detected readings only; no imputation,41.1207,4.108757445384187,1.8374921901874843,36.4527,47.4935,3.2945,0.7368495104836537
sample2,all,5,4463 4464 4465 4466 4467,Zr,0,5,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Ag,6,0,0,detected readings only; no imputation,60.09723333333334,7.168024745679013,2.9263338484261237,50.4908,69.7497,52.84878333333333,10.851394881755603
sample3,all,6,4468 4469 4470 4471 4472 4473,As,3,3,0,detected readings only; no imputation,3.0023,0.22267465055546867,0.1285612694399057,2.7903,3.2343,1.6972666666666667,0.4901457056608553
sample3,all,6,4468 4469 4470 4471 4472 4473,Au,4,2,0,detected readings only; no imputation,6.76605,1.6386398719669926,0.8193199359834963,5.2372,8.9859,4.29695,1.0744447992160882
sample3,all,6,4468 4469 4470 4471 4472 4473,Bal,6,0,0,detected readings only; no imputation,921413.7604166666,4761.323724064406,1943.8022706943277,915573.9375,928707.125,681.6488666666668,139.1754384852647
sample3,all,6,4468 4469 4470 4471 4472 4473,Bi,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Cd,6,0,0,detected readings only; no imputation,87.53336666666667,18.211615380154136,7.434860845533321,68.6154,112.9536,35.012933333333336,7.274660071754785
sample3,all,6,4468 4469 4470 4471 4472 4473,Co,1,5,0,detected readings only; no imputation,104.1581,,,104.1581,104.1581,77.7132,38.8566
sample3,all,6,4468 4469 4470 4471 4472 4473,Cr,6,0,0,detected readings only; no imputation,405.7299333333333,38.100874006860614,15.554616678479881,344.8084,450.0532,48.55288333333334,9.919924282119602
sample3,all,6,4468 4469 4470 4471 4472 4473,Cu,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Fe,6,0,0,detected readings only; no imputation,73052.26561666666,4670.577463105691,1906.755264791945,65852.3359,78707.5547,207.47439999999997,42.351262312920234
sample3,all,6,4468 4469 4470 4471 4472 4473,Hf,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Hg,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Mn,6,0,0,detected readings only; no imputation,1022.0303333333335,74.58574437254526,30.4495026330663,949.7837,1153.1304,50.12485,10.232333402012005
sample3,all,6,4468 4469 4470 4471 4472 4473,Mo,1,5,0,detected readings only; no imputation,1.9171,,,1.9171,1.9171,1.1337,0.56685
sample3,all,6,4468 4469 4470 4471 4472 4473,Nb,1,5,0,detected readings only; no imputation,1.5359,,,1.5359,1.5359,0.9154,0.4577
sample3,all,6,4468 4469 4470 4471 4472 4473,Ni,6,0,0,detected readings only; no imputation,3188.1742,247.25715769740629,100.94231193491991,2830.6699,3525.6055,40.699983333333336,8.308992149677527
sample3,all,6,4468 4469 4470 4471 4472 4473,Pb,6,0,0,detected readings only; no imputation,13.67295,1.9291206522662083,0.787560208386212,12.0661,17.0867,1.6872666666666667,0.34466689192449124
sample3,all,6,4468 4469 4470 4471 4472 4473,Pd,6,0,0,detected readings only; no imputation,111.86464999999998,7.566133640307975,3.088861124076856,102.2791,123.108,8.6068,1.7571055569300453
sample3,all,6,4468 4469 4470 4471 4472 4473,Rb,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Re,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Sb,6,0,0,detected readings only; no imputation,145.79113333333333,31.630952400056927,12.913282243067066,110.7004,196.5756,118.59261666666667,24.677516454022307
sample3,all,6,4468 4469 4470 4471 4472 4473,Se,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Sn,6,0,0,detected readings only; no imputation,221.2047,30.90769986925589,12.618015633793881,186.7659,273.1526,11.203633333333334,2.2873588956176314
sample3,all,6,4468 4469 4470 4471 4472 4473,Sr,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Ta,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Th,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Ti,4,2,0,detected readings only; no imputation,249.769825,69.93734469391752,34.96867234695876,156.1193,321.1197,132.49375,33.141678106487944
sample3,all,6,4468 4469 4470 4471 4472 4473,U,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,V,1,5,0,detected readings only; no imputation,77.6668,,,77.6668,77.6668,69.391,34.6955
sample3,all,6,4468 4469 4470 4471 4472 4473,W,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Y,0,6,0,detected readings only; no imputation,,,,,,,
sample3,all,6,4468 4469 4470 4471 4472 4473,Zn,6,0,0,detected readings only; no imputation,74.46356666666667,13.367550508102322,5.457279642622117,56.6313,88.8039,4.617483333333333,0.9433989464445981
sample3,all,6,4468 4469 4470 4471 4472 4473,Zr,0,6,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Ag,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,As,5,0,0,detected readings only; no imputation,3.63414,0.7274194374636962,0.32531186206469637,2.69,4.6756,1.48422,0.3321368388179788
sample4,big grains,5,4474 4475 4476 4477 4478,Au,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Bal,5,0,0,detected readings only; no imputation,950411.4125,2100.7734060377916,939.4944282448538,948050.625,952811.5625,400.64566,89.69132921362744
sample4,big grains,5,4474 4475 4476 4477 4478,Bi,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Cd,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Co,1,4,0,detected readings only; no imputation,78.4918,,,78.4918,78.4918,55.4223,27.71115
sample4,big grains,5,4474 4475 4476 4477 4478,Cr,5,0,0,detected readings only; no imputation,1546.58636,1573.5697998058438,703.7218079413204,245.4954,4264.9551,64.31514,15.194397321963777
sample4,big grains,5,4474 4475 4476 4477 4478,Cu,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Fe,5,0,0,detected readings only; no imputation,45083.9578,2123.5233253348742,949.668501451036,42736.6523,47478.918,159.44099999999997,35.65782686225565
sample4,big grains,5,4474 4475 4476 4477 4478,Hf,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Hg,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Mn,5,0,0,detected readings only; no imputation,624.3385599999999,22.027073354011417,9.850806672988764,596.2758,648.0668,41.379560000000005,9.29553960511169
sample4,big grains,5,4474 4475 4476 4477 4478,Mo,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Nb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Ni,5,0,0,detected readings only; no imputation,2263.7002,115.17347781831111,51.50714512136156,2145.8931,2418.3325,30.0374,6.718650775252423
sample4,big grains,5,4474 4475 4476 4477 4478,Pb,5,0,0,detected readings only; no imputation,14.163660000000002,2.382581899536718,1.0655230178649353,11.755,16.7134,1.4248,0.3189476029068098
sample4,big grains,5,4474 4475 4476 4477 4478,Pd,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Rb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Re,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Sb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Se,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Sn,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Sr,1,4,0,detected readings only; no imputation,0.7231,,,0.7231,0.7231,0.2991,0.14955
sample4,big grains,5,4474 4475 4476 4477 4478,Ta,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Th,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Ti,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,U,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,V,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,W,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Y,0,5,0,detected readings only; no imputation,,,,,,,
sample4,big grains,5,4474 4475 4476 4477 4478,Zn,5,0,0,detected readings only; no imputation,36.36586,7.647744971427851,3.4201755261389724,26.2286,46.1808,3.1275800000000005,0.700679426485465
