scenario,time_days,generated_h2_kg,dissolved_reactor_h2_kg,free_reactor_h2_kg,retained_separator_h2_kg,uncollected_separator_h2_kg,collected_h2_kg,remaining_reactive_fe_kg,water_remaining_kg,salt_kg,salt_molality,free_h2_volume_m3_ideal,gross_electricity_kwh,average_gross_power_kw,initial_pump_electricity_kwh,sensible_heat_kwh_thermal,heater_electricity_kwh,standalone_balance_kwh,warm_pressurized_balance_kwh,h2_ledger_error_kg
ten_year_assumption,2.1337036077015092,0.002885123811961859,0.002885123811961859,0.0,0.002885123811961859,0.0,0.0,591.6306302108474,19999.97421656383,5259.852,4.500005801280617,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,2.2714516296064726,0.0030713419859996535,0.0030713419859996535,0.0,0.0030713419859996535,0.0,0.0,591.6151540605866,19999.97255239109,5259.852,4.500006175720481,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,2.418092413125674,0.003269576713423406,0.003269576713423406,0.0,0.003269576713423406,0.0,0.0,591.598679243108,19999.970780830223,5259.852,4.500006574322804,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,2.5742000587654883,0.0034806030477451504,0.0034806030477451504,0.0,0.0034806030477451504,0.0,0.0,591.5811413455542,19999.96889495482,5259.852,4.500006998646049,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,2.7403857299162073,0.003705245983483691,0.003705245983483691,0.0,0.003705245983483691,0.0,0.0,591.56247180459,19999.966887392176,5259.852,4.500007450349095,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,2.917300045564378,0.003944383667605334,0.003944383667605334,0.0,0.003944383667605334,0.0,0.0,591.5425976395062,19999.964750294563,5259.852,4.500007931197702,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.0,0.0040561676575130556,0.0040561676575130556,0.0,0.0040561676575130556,0.0,0.0,591.5333075375411,19999.963751316507,5259.852,4.500008155968568,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.1056356274742942,0.004198950816603532,0.004198950816603532,0.0,0.004198950816603532,0.0,0.0,591.5214411682343,19999.962475308716,5259.852,4.50000844307138,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.3061298118108886,0.004469942352268715,0.004469942352268715,0.0,0.004469942352268715,0.0,0.0,591.4989197051871,19999.960053543335,5259.852,4.500008987970702,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.5195675358200647,0.004758417270012314,0.004758417270012314,0.0,0.004758417270012314,0.0,0.0,591.4749452397704,19999.957475534517,5259.852,4.500009568025077,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.746784410867858,0.005065502754470208,0.005065502754470208,0.0,0.005065502754470208,0.0,0.0,591.4494240943458,19999.95473120897,5259.852,4.5000101855010355,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.9886699938694123,0.005392398558023184,0.005392398558023184,0.0,0.005392398558023184,0.0,0.0,591.4222565603417,19999.951809844886,5259.852,4.500010842811027,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,4.246171269915459,0.00574038165883807,0.00574038165883807,0.0,0.00574038165883807,0.0,0.0,591.3933365111349,19999.948700030312,5259.852,4.5000115425227865,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,4.520296359730822,0.006110811216056061,0.006110811216056061,0.0,0.006110811216056061,0.0,0.0,591.3625509902365,19999.945389618882,5259.852,4.5000122873693025,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,4.812118466479695,0.00650513384083696,0.00650513384083696,0.0,0.00650513384083696,0.0,0.0,591.3297797732282,19999.94186568269,5259.852,4.500013080259415,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,5.122780077369489,0.006924889203112797,0.006924889203112797,0.0,0.006924889203112797,0.0,0.0,591.2948949017979,19999.938114462188,5259.852,4.500013924289093,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,5.453497436502585,0.007371715995114658,0.007371715995114658,0.0,0.007371715995114658,0.0,0.0,591.2577601881254,19999.93412131291,5259.852,4.500014822753421,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,5.805565306487227,0.007847358274015356,0.007847358274015356,0.0,0.007847358274015356,0.0,0.0,591.2182306877605,19999.929870648764,5259.852,4.500015779159357,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,6.180362037449388,0.00835367220738156,0.00835367220738156,0.0,0.00835367220738156,0.0,0.0,591.1761521390242,19999.925345881777,5259.852,4.500016797239299,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,6.579354963290791,0.00889263324655469,0.00889263324655469,0.0,0.00889263324655469,0.0,0.0,591.1313603668464,19999.92052935796,5259.852,4.500017880965509,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,7.004106146319531,0.009466343754584156,0.009466343754584156,0.0,0.009466343754584156,0.0,0.0,591.0836806488262,19999.915402289167,5259.852,4.500019034565452,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
